SKU,Revenue,Cumulative_Revenue,Cumulative_Pct,ABC_Class
J0230-SKD-M,527699.2,527699.2,0.671595121762359,A
JNE3797-KR-L,524581.77,1052280.97,1.3392227355572328,A
J0230-SKD-S,479937.14,1532218.1099999999,1.9500317759661976,A
JNE3797-KR-M,453555.16,1985773.2699999998,2.527264852889843,A
JNE3797-KR-S,407302.57,2393075.84,3.0456329290462443,A
JNE3797-KR-XL,332155.24,2725231.08,3.468362087725669,A
J0230-SKD-L,305616.95,3030848.0300000003,3.8573163494488076,A
JNE3797-KR-XS,303616.7,3334464.7300000004,4.243724921994656,A
SET268-KR-NP-XL,284058.96,3618523.6900000004,4.605242642371888,A
JNE3797-KR-XXXL,276375.8,3894899.49,4.956982116400215,A
JNE3797-KR-XXL,275966.88,4170866.37,5.308201163872673,A
SET268-KR-NP-S,267030.48,4437896.85,5.6480469846165,A
J0230-SKD-XL,259032.58,4696929.43,5.977713993976224,A
SET268-KR-NP-L,258716.0,4955645.43,6.306978096559419,A
SET183-KR-DH-M,249412.98,5205058.41,6.624402380454891,A
J0341-DR-M,235151.42,5440209.83,6.9236761836888,A
J0230-SKD-XS,220629.86,5660839.69,7.20446860803038,A
J0341-DR-L,217865.04,5878704.73,7.4817422860396725,A
J0341-DR-S,214934.45,6093639.180000001,7.755286244640854,A
SET278-KR-NP-M,201821.14,6295460.32,8.012141083709242,A
JNE3405-KR-L,194645.29,6490105.61,8.259863322511233,A
J0003-SET-S,191771.79,6681877.4,8.503928499520475,A
J0341-DR-XXL,178656.29,6860533.69,8.731301769815676,A
J0008-SKD-M,174522.89,7035056.58,8.953414521852952,A
SET324-KR-NP-M,171020.92,7206077.5,9.171070367439436,A
SET397-KR-NP  -M,170781.59,7376859.09,9.388421621204495,A
J0003-SET-M,169574.52,7546433.609999999,9.6042366544795,A
JNE3405-KR-S,169048.87,7715482.4799999995,9.819382700619876,A
J0341-DR-XL,161609.48,7877091.96,10.025060742956404,A
SET345-KR-NP-M,154015.95,8031107.91,10.221074609745656,A
J0341-DR-XXXL,154002.86,8185110.7700000005,10.417071817081675,A
J0003-SET-XS,149347.62,8334458.390000001,10.607144367956908,A
J0008-SKD-S,148401.25,8482859.64,10.796012487452703,A
JNE3405-KR-M,146626.29,8629485.93,10.982621641088171,A
J0008-SKD-L,146340.0,8775825.93,11.168866437590996,A
J0003-SET-XXXL,144384.88,8920210.81,11.352622981213278,A
SET268-KR-NP-XXL,140307.24,9060518.05,11.531189971521282,A
J0339-DR-XL,139913.14,9200431.190000001,11.70925539647257,A
SET324-KR-NP-L,136244.61,9336675.8,11.882651936475689,A
J0008-SKD-XS,135530.82,9472206.620000001,12.055140046293655,A
SET268-KR-NP-XS,132258.48,9604465.100000001,12.223463496432872,A
J0335-DR-L,130103.47,9734568.570000002,12.389044296586361,A
J0003-SET-XXL,127392.12,9861960.690000001,12.551174400901402,A
J0339-DR-M,125713.33,9987674.020000001,12.711167933520937,A
SET345-KR-NP-L,125418.74,10113092.760000002,12.870786545718154,A
JNE3800-KR-L,125243.1,10238335.860000001,13.03018162343363,A
J0230-SKD-XXL,120104.9,10358440.760000002,13.18303738849781,A
SET268-KR-NP-M,119336.4,10477777.160000002,13.33491509475297,A
SET110-KR-PP-M,118524.61,10596301.770000001,13.48575964764368,A
SET278-KR-NP-S,117907.6,10714209.370000001,13.635818940852213,A
JNE3567-KR-M,115426.0,10829635.370000001,13.782719937716601,A
JNE3798-KR-XL,113888.81,10943524.180000002,13.927664575152706,A
SET397-KR-NP-S,113827.83,11057352.010000002,14.072531604226835,A
JNE3801-KR-M,113481.48,11170833.490000002,14.216957838677017,A
JNE3399-KR-M,113268.0,11284101.490000002,14.361112380226025,A
J0341-DR-XS,113103.33,11397204.820000002,14.505057348653262,A
SET291-KR-PP-M,112794.57,11509999.390000002,14.648609362704606,A
J0003-SET-XL,112328.22,11622327.610000003,14.791567859871646,A
SET331-KR-NP-M,111372.95,11733700.560000002,14.933310598758275,A
JNE3797-KR-A-M,111327.59,11845028.150000002,15.07499560863049,A
SET197-KR-NP-L,111088.96,11956117.110000003,15.216376917561135,A
SET345-KR-NP-S,110273.81,12066390.920000004,15.356720796904046,A
SET304-KR-DPT-XS,109123.47,12175514.390000004,15.495600655205482,A
SET345-KR-NP-XL,107393.52,12282907.910000004,15.632278831221075,A
JNE3800-KR-M,106812.48,12389720.390000004,15.768217526052032,A
SET278-KR-NP-L,106142.64,12495863.030000005,15.903303725225687,A
J0339-DR-L,103644.61,12599507.640000004,16.03521071783239,A
J0285-SKD-XL,103208.0,12702715.640000004,16.166562043221642,A
SET264-KR-NP-XL,102359.76,12805075.400000004,16.29683382585987,A
SET268-KR-NP-XXXL,102216.0,12907291.400000004,16.42692264723019,A
SET278-KR-NP-XL,101618.32,13008909.720000004,16.556250809929104,A
SET392-KR-NP-M,101290.08,13110199.800000004,16.685161226338526,A
JNE3801-KR-XXL,99872.48,13210072.280000005,16.812267483778957,A
J0119-TP-XXXL,99739.16,13309811.440000005,16.939204066788133,A
JNE3373-KR-XXXL,99452.5,13409263.940000005,17.065775821771027,A
J0119-TP-XL,99432.0,13508695.940000005,17.192321486701115,A
J0339-DR-XXL,97912.33,13606608.270000005,17.316933089652924,A
SET331-KR-NP-L,97033.52,13703641.790000005,17.440426243857875,A
JNE3368-KR-XXL,96761.57,13800403.360000005,17.5635732912403,A
JNE3801-KR-L,95810.58,13896213.940000005,17.685510027436266,A
SET324-KR-NP-S,95783.66,13991997.600000005,17.80741250293849,A
SET264-KR-NP-M,95767.76,14087765.360000005,17.92929474274122,A
SET398-KR-PP-XXL,94803.93,14182569.290000005,18.049950330075635,A
JNE3405-KR-XXXL,94773.0,14277342.290000005,18.17056655324744,A
J0012-SKD-XL,94378.0,14371720.290000005,18.29068006564558,A
SET291-KR-PP-L,93308.37,14465028.660000004,18.40943227544919,A
J0119-TP-XXL,93150.29,14558178.950000003,18.52798329912849,A
J0008-SKD-XL,93028.0,14651206.950000003,18.646378686097634,A
SET187-KR-DH-XL,92984.84,14744191.790000003,18.764719143960473,A
SET110-KR-PP-S,91798.83,14835990.620000003,18.88155018408995,A
SET324-KR-NP-XXL,91364.85,14927355.470000003,18.99782890416485,A
J0285-SKD-M,90705.53,15018061.000000002,19.113268517233944,A
J0285-SKD-L,89905.32,15107966.320000002,19.227689714636714,A
J0335-DR-XL,89850.14,15197816.460000003,19.34204068525343,A
JNE3291-KR-XL,88807.0,15286623.460000003,19.45506406671459,A
JNE3405-KR-XS,88127.0,15374750.460000003,19.567222022033743,A
SET183-KR-DH-XXXL,87534.16,15462284.620000003,19.67862547847932,A
J0339-DR-S,87475.57,15549760.190000003,19.78995436828128,A
JNE3368-KR-XXXL,87426.99,15637187.180000003,19.901221431021504,A
J0349-SET-L,87425.23,15724612.410000004,20.012486253835245,A
JNE3798-KR-M,87390.19,15812002.600000003,20.123706481748957,A
JNE3399-KR-XL,86867.29,15898869.890000002,20.234261222413178,A
J0003-SET-L,85866.6,15984736.490000002,20.343542399421445,A
J0349-SET-M,85858.65,16070595.140000002,20.45281345857996,A
SET345-KR-NP-XXL,85264.0,16155859.140000002,20.56132771530414,A
J0244-SKD-L,85175.72,16241034.860000003,20.669729619352125,A
SET324-KR-NP-XS,84317.08,16325351.940000003,20.777038744719846,A
SET324-KR-NP-XL,83771.94,16409123.880000003,20.883654078312485,A
SET304-KR-DPT-L,82865.93,16491989.810000002,20.98911634611259,A
JNE3797-KR-A-S,82518.64,16574508.450000003,21.094136622964374,A
